id_sujet,serie,trial,item,correct,key_press,correct_response,rt,time_elapsed,test_part
1,1,1,1,,1,4,434.4,6524,trial_1_1_1
1,1,1,2,,1,6,206.94,6732,trial_1_1_2
1,1,1,3,,1,7,189.31,6922,trial_1_1_3
1,1,2,1,,4,3,641.555,13073,trial_1_2_1
1,1,2,2,,9,5,8.59,13082,trial_1_2_2
1,1,2,3,,3,6,3.905,13086,trial_1_2_3
1,1,2,4,,7,4,119.16,13206,trial_1_2_4
1,1,3,1,,5,8,419.865,20132,trial_1_3_1
1,1,3,2,,4,9,101.42,20234,trial_1_3_2
1,1,3,3,,3,2,52.155,20287,trial_1_3_3
1,1,3,4,,9,6,2.55,20290,trial_1_3_4
1,1,3,5,,8,4,17.57,20308,trial_1_3_5
1,1,4,1,,7,8,138.325,27954,trial_1_4_1
1,1,4,2,1.0,7,7,1962.94,29918,trial_1_4_2
1,1,4,3,1.0,3,3,189.22,30108,trial_1_4_3
1,1,4,4,,4,1,171.005,30280,trial_1_4_4
1,1,4,5,,5,4,47.395,30328,trial_1_4_5
1,1,4,6,,5,2,397.56,30726,trial_1_4_6
1,1,5,1,,7,9,404.415,39642,trial_1_5_1
1,1,5,2,,6,7,140.84,39783,trial_1_5_2
1,1,5,3,,5,2,6.44,39790,trial_1_5_3
1,1,5,4,1.0,4,4,8.375,39799,trial_1_5_4
1,1,5,5,,3,8,51.44,39851,trial_1_5_5
1,1,5,6,,7,6,173.46,40025,trial_1_5_6
1,1,5,7,,6,1,177.54,40203,trial_1_5_7
1,1,6,1,,7,5,1309.39,50022,trial_1_6_1
1,1,6,2,,5,4,112.875,50136,trial_1_6_2
1,1,6,3,,2,8,8.77,50146,trial_1_6_3
1,1,6,4,,4,2,1.0,50148,trial_1_6_4
1,1,6,5,,6,9,277.025,50426,trial_1_6_5
1,1,6,6,,5,6,209.54,50638,trial_1_6_6
1,1,6,7,,4,7,6.88,50646,trial_1_6_7
1,1,7,1,,7,4,479.615,58640,trial_1_7_1
1,1,7,2,,5,8,52.885,58694,trial_1_7_2
1,1,7,3,,6,9,76.975,58772,trial_1_7_3
1,1,7,4,1.0,2,2,180.98,58954,trial_1_7_4
1,1,7,5,,4,7,125.89,59081,trial_1_7_5
1,1,7,6,,5,1,79.81,59162,trial_1_7_6
1,1,8,1,,8,9,926.36,68596,trial_1_8_1
1,1,8,2,,9,4,0.145,68597,trial_1_8_2
1,1,8,3,,7,1,161.165,68759,trial_1_8_3
1,1,8,4,,4,7,194.695,68955,trial_1_8_4
1,1,8,5,,4,8,95.96,69052,trial_1_8_5
1,1,8,6,,5,3,27.07,69080,trial_1_8_6
1,1,8,7,1.0,6,6,7.96,69089,trial_1_8_7
1,1,9,1,,7,8,1760.65,79358,trial_1_9_1
1,1,9,2,1.0,6,6,146.32,79506,trial_1_9_2
